iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
POL,Europe,Poland,2020-06-11,27757,197,1206,23,733.408,5.205,31.865,0.608,,,,,,,,,37846605.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62
PRT,Europe,Portugal,2020-06-11,35600,294,1495,3,3491.323,28.833,146.616,0.294,,,,,,,,,10196707.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39
PRI,North America,Puerto Rico,2020-06-11,5329,144,143,1,1862.74,50.335,49.985,0.35,,,,,,,,,2860840.0,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,
QAT,Asia,Qatar,2020-06-11,73595,1716,66,4,25544.418,595.614,22.908,1.388,,,,,,,,,2881060.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2
ROU,Europe,Romania,2020-06-11,20945,196,1360,15,1088.749,10.188,70.695,0.78,531619.0,11055.0,27.634,0.575,8396.0,0.436,tests performed,,19237682.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892
RUS,Europe,Russia,2020-06-11,493657,8404,6358,217,3382.731,57.587,43.568,1.487,13875097.0,329794.0,95.078,2.26,306007.0,2.097,tests performed,,145934460.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05
RWA,Africa,Rwanda,2020-06-11,476,13,2,0,36.75,1.004,0.154,0.0,,,,,,,,,12952209.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,
KNA,North America,Saint Kitts and Nevis,2020-06-11,15,0,0,0,281.997,0.0,0.0,0.0,,,,,,,,,53192.0,212.865,,,,24654.385,,,12.84,,,,2.3
LCA,North America,Saint Lucia,2020-06-11,19,0,0,0,103.469,0.0,0.0,0.0,,,,,,,,,183629.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3
VCT,North America,Saint Vincent and the Grenadines,2020-06-11,27,0,0,0,243.359,0.0,0.0,0.0,,,,,,,,,110947.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6
SMR,Europe,San Marino,2020-06-11,691,3,42,0,20360.658,88.396,1237.551,0.0,,,,,,,,,33938.0,556.667,,,,56861.47,,,5.64,,,,3.8
STP,Africa,Sao Tome and Principe,2020-06-11,632,118,12,0,2883.725,538.417,54.754,0.0,,,,,,,,,219161.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9
SAU,Asia,Saudi Arabia,2020-06-11,112288,3717,819,36,3225.381,106.768,23.525,1.034,,,,,,,,,34813867.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7
SEN,Africa,Senegal,2020-06-11,4640,124,54,2,277.115,7.406,3.225,0.119,,,,,,,,,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,
SRB,Europe,Serbia,2020-06-11,12031,66,251,1,1768.07,9.699,36.887,0.147,,,,,,,,,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609
